name,email,location,status
Sunrise Academy,sunrise@academy.com,Cape Town,active
Greenfield School,greenfield@school.com,Johannesburg,active
Riverside High,riverside@high.com,Durban,inactive
Maple Grove Institute,maple@institute.com,Bloemfontein,active
Oakwood Academy,oakwood@academy.com,Potchefstroom,inactive
Horizon International,horizon@international.com,Stellenbosch,active
Cedar Valley School,cedar@school.com,East London,active
Parkview Secondary,parkview@secondary.com,Pietermaritzburg,inactive
Sunshine Preparatory,sunshine@prep.com,Centurion,active
Bluewater College,bluewater@college.com,Rustenburg,active
Greenwich Academy,greenwich@academy.com,Welkom,inactive
Kingfisher High,kingfisher@high.com,Midrand,active
Woodland School,woodland@school.com,George,active
Clearview High,clearview@high.com,Richards Bay,active
Pinehurst Academy,pinehurst@academy.com,Klerksdorp,inactive
Riverstone High,riverstone@high.com,Somerset West,active
Springdale School,springdale@school.com,Pretoria,active
Silver Oak Academy,silveroak@academy.com,Bloemfontein,inactive
Sunset Grove High,sunset@high.com,Nelspruit,active
Golden Valley College,golden@college.com,Mahikeng,inactive
Brookside High,brookside@high.com,Paarl,active
Silverwood School,silverwood@school.com,Newcastle,active
Pinewood International,pinewood@intl.com,Sandton,inactive
Riverside College,riverside@college.com,Welkom,active
Mountainview Academy,mountainview@academy.com,Lichtenburg,inactive
Willow Creek School,willowcreek@school.com,Durban,active
Crescent Hill Institute,crescent@institute.com,Ceres,inactive
Birchwood School,birchwood@school.com,Lichtenburg,active
Stonehill High,stonehill@high.com,Boksburg,active
Northgate Academy,northgate@academy.com,Welkom,active
Rosewood High,rosewood@high.com,Port Shepstone,inactive
